6.0.0.0;6.255.255.255
207.60.111.96;207.60.111.127
207.60.111.128;207.60.111.159
207.60.111.160;207.60.111.191
207.60.111.192;207.60.111.223
207.60.111.224;207.60.111.255
207.60.112.0;207.60.112.255
207.60.116.0;207.60.116.255
207.60.122.16;207.60.122.23
207.60.122.24;207.60.122.31
207.60.122.32;207.60.122.39
207.60.122.40;207.60.122.47
207.60.122.48;207.60.122.55
207.60.122.56;207.60.122.63
207.60.122.64;207.60.122.71
207.60.122.72;207.60.122.79
207.60.122.80;207.60.122.87
207.60.122.88;207.60.122.95
207.60.122.96;207.60.122.103
207.60.122.104;207.60.122.111
207.60.127.0;207.60.127.255
207.60.128.0;207.60.128.255
207.60.129.0;207.60.129.255
207.60.129.64;207.60.129.127
207.60.129.128;207.60.129.191
207.60.129.192;207.60.129.255
207.61.0.0;207.61.255.255
207.120.0.0;207.120.255.255
208.240.0.0;208.240.255.255
209.35.0.0;209.35.255.255
212.56.107.22;212.56.107.22
212.143.0.0;212.143.255.255
212.149.0.0;212.149.255.255
212.159.0.0;212.159.255.255
212.179.0.0;212.179.255.255
213.8.0.0;213.8.255.255
216.25.0.0;216.25.255.255
216.94.0.0;216.94.255.255
216.247.0.0;216.247.255.255
216.248.0.0;216.248.255.255
217.6.0.0;217.6.255.255
